BLOCK_ID,TOTAL_KWH,TOTAL_THERMS,TOTAL_SQFT,TOTAL_SQFT,KWH_PER_SQFT,THERMS_PER_SQFT,KWH_PER_SQMETER,THERMS_PER_SQMETER
170310104001006,73518,23459,18554,12843,3.96238008,1.826598147,42.65072258,19.66134729
170310104002000,81964,87513,13831,77259,5.926108018,1.132722401,63.78812329,12.1925277
170310104002001,167206,35400,46647,35039,,,,
170310104002004,83511,440,11636,11636,7.176950842,0.037813682,77.25208919,0.407023257
170310104002005,215874,37765,47616,34404,4.533644153,1.097692129,48.79976054,11.81546483
170310104002006,162631,40279,35737,17901,4.550773708,2.25009776,48.98414161,24.21986114
170310104002007,290683,30214,63361,63361,4.587727466,0.476854848,49.38190873,5.132825072
170310104003001,21588,3218,2862,2862,7.542976939,1.124388539,81.19196301,12.10282272
170310104003002,710733,50746,195185,188263,3.64133002,0.269548451,39.19496701,2.901396627
170310104003003,152527,31430,112420,138338,1.356760363,0.227197155,14.60405329,2.445530874
170310104003004,183394,53773,85037,88119,2.156637699,0.610231619,23.21386499,6.568481304
170310104003006,44833184,1361598,537010,648449,83.48668367,2.099776544,898.643571,22.60181634
170310104003009,369534,70268,95352,95352,3.875471936,0.736932629,41.7152507,7.932280212
170310104003010,180898,10543,70784,16146,2.555634042,0.652979066,27.50862773,7.028611197
170310104003011,556430,133615,163757,152865,3.397900548,0.874071894,36.57471285,9.40843561
170310104003012,99830,14768,18935,18935,5.272247161,0.779931344,56.75002057,8.395114733
170310104003013,16865,11569,19059,9657,0.884883782,1.197991095,9.524813859,12.89507437
170310104003014,929872,220071,81626,121626,11.39186044,1.809407528,122.621018,19.47630892
170310105011000,309409,85904,51530,51530,6.004444013,1.667067728,64.63132529,17.9441754
170310105011001,212580,50567,36367,68417,5.8454093,0.739099931,62.91948914,7.955608875
170310105011002,45887,694,53904,38493,0.851272633,0.018029252,9.163026305,0.194065338
170310105011003,516292,116658,142940,154767,,,,
170310105012000,240318,107325,106526,106526,,,,
170310105012001,211058,74958,110961,110961,1.902091726,0.675534647,20.47395376,7.271397558
170310105012003,192336,47858,76317,76317,2.520224852,0.627094881,27.12748621,6.749996023
170310105012004,254993,66094,120833,120833,2.110292718,0.546986337,22.71501155,5.88771446
170310105012005,456558,115238,121082,28829,3.770651294,3.997294391,40.58697022,43.02653726
170310105012006,467212,126749,102954,55999,4.538065544,2.263415418,48.84735201,24.36321129
170310105012007,497236,106414,149233,132345,3.331944007,0.804065133,35.86476225,8.654888785
170310105012008,323898,79191,112452,112452,2.880322271,0.704220467,31.00354424,7.580169288
170310105013000,541891,108895,195692,195692,2.769101445,0.556461174,29.80637272,5.989700803
170310105013001,580299,53557,93255,83955,,,,
170310105013002,30699,217,9672,9672,3.174007444,0.022435897,34.1647465,0.241498094
170310105013003,1067482,123723,131975,135075,,,,
170310105013005,26460,9664,15195,15195,,,,
170310105013006,74606,8330,21276,21276,3.506580184,0.391520963,37.74453122,4.214298382
